R00001	polyphosphate polyphosphohydrolase	Polyphosphate + n H2O <=> (n+1) Oligophosphate	C00404 + n C00001 <=> (n+1) C02174	3.6.1.10							
R00002	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin	16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139	1.18.6.1	a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)	RP00003  C00002_C00008 main [RC:RC00002]///RP00010  C00002_C00009 leave///RP05676  C00001_C00009 leave					
R00004	diphosphate phosphohydrolase;///pyrophosphate phosphohydrolase	Diphosphate + H2O <=> 2 Orthophosphate	C00013 + C00001 <=> 2 C00009	3.6.1.1		RP00190  C00009_C00013 leave///RP05676  C00001_C00009 leave					
R00005	urea-1-carboxylate amidohydrolase	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia	C01010 + C00001 <=> 2 C00011 + 2 C00014	3.5.1.54	The yeast enzyme (but not that from green algae) also catalyses the///reaction of EC 6.3.4.6 urea carboxylase, thus bringing about the///hydrolysis of urea to CO2 and NH3 in the presence of ATP and///bicarbonate.///R00774 (6.3.4.6)	RP05682  C00001_C00011 leave///RP07361  C00011_C01010 main [RC:RC02756]///RP07385  C00014_C01010 leave///RP13530  C00011_C01010 leave///RP13531  C00014_C01010 leave	rn00220: Arginine biosynthesis///rn00791: Atrazine degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments	allophanate hydrolase [EC:3.5.1.54]///urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]			
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating);///2-acetolactate pyruvate-lyase (carboxylating)	2-Acetolactate + CO2 <=> 2 Pyruvate	C00900 + C00011 <=> 2 C00022	2.2.1.6	TPP-dependent enzymatic reaction (R00014+R03050)	RP00440  C00022_C00900 main [RC:RC00106]///RP05698  C00011_C00022 leave///RP12733  C00022_C00900 trans	rn00770: Pantothenate and CoA biosynthesis	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]///acetolactate synthase I/III small subunit [EC:2.2.1.6]			
R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	Parapyruvate <=> 2 Pyruvate	C06033 <=> 2 C00022	4.1.3.17		RP02868  C00022_C06033 main [RC:RC00502]///RP13529  C00022_C06033 main [RC:RC01205]	rn00362: Benzoate degradation///rn00660: C5-Branched dibasic acid metabolism///rn01120: Microbial metabolism in diverse environments	4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]			
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2 Hydrogen peroxide <=> Oxygen + 2 H2O	2 C00027 <=> C00007 + 2 C00001	1.11.1.6///1.11.1.21		RP00006  C00007_C00027 main [RC:RC02755]///RP00130  C00001_C00027 leave	rn00630: Glyoxylate and dicarboxylate metabolism///rn01110: Biosynthesis of secondary metabolites///rn01130: Biosynthesis of antibiotics///rn01200: Carbon metabolism	catalase [EC:1.11.1.6]	Photorespiration		
R00010	alpha,alpha-trehalose glucohydrolase	alpha,alpha-Trehalose + H2O <=> 2 D-Glucose	C01083 + C00001 <=> 2 C00031	3.2.1.28		RP00453  C00031_C01083 main [RC:RC00049]///RP05679  C00001_C00031 leave	rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways	alpha,alpha-trehalase [EC:3.2.1.28]		Same as: R06103	
R00011	Mn(II):hydrogen-peroxide oxidoreductase	2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O	2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001	1.11.1.13		RP00130  C00001_C00027 cofac///RP14713  C19610_C19611 leave					
R00012	GTP:GTP guanylyltransferase	2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate	2 C00044 <=> C00013 + C01261	2.7.7.45		RP00462  C00044_C01261 main [RC:RC00002]///RP05707  C00013_C00044 leave///RP13476  C00044_C01261 trans					
