Compound	KEGG_ID
A	C00028
S	C00087
Q	C00399
R	C05693
P	C06262
C	C06265
B	C06266
V	C06267
O2	C00007
H+	C00080
hn	C00205
CO	C00237
K+	C00238
H2	C00282
HX	C00462
NO	C00533
PM	C00534
N2	C00697
I-	C00708
F-	C00742
OT	C00746
VP	C00840
Hg	C01319
RI	C01321
RX	C01322
RH	C01371
I2	C01382
T4	C01829
T3	C02465
e-	C05359
Gp	C06193
Si	C06263
Al	C06264
Cr	C06268
As	C06269
Pb	C06696
Ag	C06710
NF	C10923
GA	C11484
M1	C14206
M2	C14207
GX	C16569
GH	C18181
LH	C18183
PL	C18210
AP	C18340
IQ	C19180
WC	C19183
H2O	C00001
ATP	C00002
NAD	C00003
DPN	C00003
TPN	C00006
ADP	C00008
CoA	C00010
CO2	C00011
PPi	C00013
NH3	C00014
UDP	C00015
FAD	C00016
PLP	C00018
SAM	C00019
AMP	C00020
AH2	C00030
GDP	C00035
Gly	C00037
DNA	C00039
GTP	C00044
RNA	C00046
GSH	C00051
PAP	C00054
CMP	C00055
FMN	C00061
CTP	C00063
TPP	C00068
Cu+	C00070
PEP	C00074
UTP	C00075
ITP	C00081
THF	C00101
IDP	C00104
UMP	C00105
CDP	C00112
PQQ	C00113
IMP	C00130
GMP	C00144
MTA	C00170
CN-	C00177
NTP	C00201
DFP	C00202
hnu	C00205
APS	C00224
ACP	C00229
H2S	C00283
LPS	C00338
QH2	C00390
CoQ	C00399
NDP	C00454
NMN	C00455
TTP	C00459
XMP	C00655
Cl-	C00698
XTP	C00700
O2-	C00704
RBr	C00720
OXT	C00746
ADH	C00840
Cbl	C00853
PNP	C00870
N2O	C00887
DTE	C00950
IAA	C00954
PVA	C00980
TMP	C01081
DPG	C01159
KDO	C01187
DHA	C01227
Br-	C01324
HCN	C01326
HCl	C01327
HO-	C01328
OH-	C01328
NMP	C01329
Na+	C01330
RCl	C01334
ROH	C01335
RSH	C01336
XDP	C01337
CH4	C01438
STS	C02079
PCP	C02575
MEK	C02845
CPA	C03032
DMF	C03134
DOC	C03205
AIR	C03373
CoM	C03576
GAR	C03838
TRH	C03958
DDE	C04596
PAF	C04598
DDT	C04623
HTP	C04628
HMA	C04688
GM3	C04730
GM2	C04884
GM1	C04911
TPA	C05151
PMA	C05151
LPP	C05308
TES	C05353
ACV	C05556
DHI	C05578
ABA	C06082
HFA	C06108
NPP	C06111
S1P	C06124
GM4	C06128
GD3	C06133
GD2	C06134
GA2	C06135
GA1	C06136
GQ1	C06139
TDE	C06636
DDD	C06636
DDA	C06640
DDM	C06641
DBP	C06643
Ag+	C06710
PCE	C06789
TCE	C06790
DKH	C06892
THC	C06972
3TC	C07065
LVP	C07105
AZT	C07210
MAA	C07294
d4T	C07312
LSD	C07542
CBD	C07578
DES	C07620
rT3	C07639
DBI	C07673
DMT	C08302
CBC	C08998
RTX	C09179
DON	C09747
DMJ	C10141
DCB	C10934
DEA	C11001
TPN	C11037
HCB	C11042
HMF	C11101
HOG	C11102
HNG	C11104
AAA	C11106
DBA	C11108
HBA	C11109
DTP	C11122
DME	C11144
TCA	C11150
SDS	C11166
IBA	C11284
ANS	C11326
LLY	C11331
ADC	C11355
NTX	C11474
NAC	C11486
EPA	C11487
NMF	C11489
NOP	C11491
TTX	C11692
AEA	C11695
LDZ	C11725
DCI	C11772
EKC	C11795
CDA	C12024
DHK	C12436
NAA	C13014
FFA	C13038
OTC	C13055
HBr	C13645
AVP	C13662
ADH	C13662
DPC	C13697
NFA	C13698
A9C	C13699
CPP	C13701
CPX	C13709
H37	C13767
MPP	C14420
EPN	C14434
TBP	C14439
MEP	C14442
MMA	C14527
NMH	C14595
BHT	C14693
DES	C14706
IBP	C15230
BHA	C15469
PCN	C15637
NMB	C15865
NMU	C15869
GIP	C15906
ANP	C16003
BNP	C16004
CNP	C16005
MCH	C16030
PTH	C16051
CRH	C16079
GRP	C16115
VIP	C16119
DMI	C16187
DMI	C16226
NNN	C16452
NNK	C16453
ETA	C16522
APC	C16542
NPC	C16543
CTX	C16762
IHB	C16881
Rb+	C17061
NTI	C18128
PCB	C18141
TSH	C18182
FSH	C18184
EPO	C18200
